#,Category,Brand Name,Program Name,Direct Sign-Up URL,Free to Join (Yes/No),Notes,Sign_Up_Type,Required_Fields,Auto_Signup_Feasible,Reward_on_Signup,Barriers  
1,Grocery,Kroger,Kroger Plus Card,https://www.kroger.com/account/create,Yes,Fuel points,Full Registration,"email, name, phone",Yes,Bonus points on signup,None noted  
2,Grocery,H-E-B,H-E-B Account,https://www.heb.com/register,Yes,Digital coupons,Full Registration,"email, name, phone",Yes,None noted,None noted  
3,Grocery,Tom Thumb,for U™,https://www.tomthumb.com/account/sign-up.html,Yes,Points-based,Full Registration,"email, name, phone",Yes,Bonus points on signup,None noted  
4,Grocery,Brookshire's,Thank You Card,https://www.brookshires.com/register,Yes,Earn YourPoints,Full Registration,"email, name, phone",Yes,Bonus points on signup,None noted  
5,Grocery,Market Street,Rewards,https://www.marketstreetunited.com/rs/MyAccount/Register,Yes,Points system,Full Registration,"email, name, phone",Yes,Bonus points on signup,None noted  
6,Grocery,Randalls,for U™,https://www.randalls.com/account/sign-up.html,Yes,Grocery/gas rewards,Full Registration,"email, name, phone",Yes,None noted,None noted  
7,Grocery,Albertsons,for U™,https://www.albertsons.com/account/sign-up.html,Yes,Digital deals,Full Registration,"email, name, phone",Yes,None noted,None noted  
8,Grocery,Safeway,for U™,https://www.safeway.com/account/sign-up.html,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
9,Grocery,Publix,Club Publix,https://www.publix.com/myaccount/register,Yes,Personalized perks,Full Registration,"email, name, phone",Yes,None noted,None noted  
10,Grocery,Whole Foods,Prime Member,https://www.amazon.com/ap/register,No,Requires paid Amazon Prime,Paid Subscription,"email, name, payment info",No,None noted,Payment required  
11,Pharmacy,CVS Pharmacy,ExtraCare,https://www.cvs.com/account/login?mode=create,Yes,2% back in ExtraBucks,Full Registration,"email, name, phone",Yes,None noted,None noted  
12,Pharmacy,Walgreens,myWalgreens,https://www.walgreens.com/register/regstart.jsp,Yes,1% storewide rewards,Full Registration,"email, name, phone",Yes,None noted,None noted  
13,Pharmacy,Rite Aid,Rite Aid Rewards,https://www.riteaid.com/rewards/signup,Yes,Bonus cash,Full Registration,"email, name, phone",Yes,Bonus points on signup,None noted  
14,Gas,Shell,Fuel Rewards,https://www.fuelrewards.com/fuelrewards/signup,Yes,5 cents/gal Gold status,Full Registration,"email, name, phone",Yes,None noted,None noted  
15,Gas,ExxonMobil,Exxon Mobil Rewards+,https://www.exxon.com/en/rewards-program/register,Yes,Points per gallon,Full Registration,"email, name, phone",Yes,Bonus points on signup,None noted  
16,Gas,BP/Amoco,earnify™,https://myearnify.bp.com/register,Yes,App-based,Full Registration,"email, name, phone",Yes,None noted,None noted  
17,Gas,Speedway,Speedy Rewards,https://www.speedway.com/speedy-rewards/register,Yes,Redeem for gift cards,Full Registration,"email, name, phone",Yes,None noted,None noted  
18,Gas,Chevron,Chevron Rewards,https://www.chevrontexacorewards.com/signup,Yes,Welcome points,Full Registration,"email, name, phone",Yes,Bonus points on signup,None noted  
19,Gas,Circle K,Inner Circle,https://innercircle.circlek.com/register,Yes,Early fuel discounts,Full Registration,"email, name, phone",Yes,Discount on first purchase,None noted  
20,Gas,7-Eleven,7REWARDS,https://www.7-eleven.com/7rewards/signup,Yes,Earn points on items,Full Registration,"email, name, phone",Yes,Bonus points on signup,None noted  
21,Dining,McDonald's,MyMcDonald's Rewards,https://www.mcdonalds.com/us/en-us/mcdonalds-app.html,Yes,Points for free food,Full Registration,"email, name, phone",Yes,Free item or bonus points on signup,None noted  
22,Dining,Wingstop,Wingstop Account,https://www.wingstop.com/account/register,Yes,Exclusive deals,Full Registration,"email, name, phone",Yes,None noted,None noted  
23,Dining,Popeyes,Popeyes Rewards,https://www.popeyes.com/signup,Yes,Points per $1,Paid Subscription,"email, name, payment info",No,None noted,Payment required  
24,Dining,Whataburger,Whataburger Rewards,https://whataburger.com/account/register,Yes,Points for free food,Full Registration,"email, name, phone",Yes,Free item or bonus points on signup,None noted  
25,Dining,Starbucks,Starbucks Rewards,https://www.starbucks.com/account/create,Yes,Birthday reward,Full Registration,"email, name, phone",Yes,None noted,None noted  
26,Dining,Chick-fil-A,Chick-fil-A One,https://www.chick-fil-a.com/one/register,Yes,Tiered membership,Full Registration,"email, name, phone",Yes,None noted,None noted  
27,Dining,Panera Bread,MyPanera,https://www.panerabread.com/en-us/mypanera/sign-up.html,Yes,Surprise rewards,Full Registration,"email, name, phone",Yes,None noted,None noted  
28,Dining,Chipotle,Chipotle Rewards,https://www.chipotle.com/order/create-account,Yes,10 pts per $1 spent,Paid Subscription,"email, name, payment info",No,None noted,Payment required  
29,Dining,Dunkin',Dunkin' Rewards,https://www.dunkindonuts.com/en/sign-up,Yes,Earn points toward free drinks,Full Registration,"email, name, phone",Yes,Free item or bonus points on signup,None noted  
30,Dining,Wendy's,Wendy's Rewards,https://my.wendys.com/signup,Yes,Points for food,Full Registration,"email, name, phone",Yes,Bonus points on signup,None noted  
31,Dining,Subway,MVP Rewards,https://www.subway.com/en-US/Register,Yes,Earn Subway Cash,Full Registration,"email, name, phone",Yes,None noted,None noted  
32,Dining,Domino's,Domino's Rewards,https://www.dominos.com/en/pages/customer/#\!/customer/profile/new,Yes,60 pts = free medium 2-topping pizza,Full Registration,"email, name, phone",Yes,None noted,None noted  
33,Dining,Pizza Hut,Hut Rewards,https://www.pizzahut.com/index.php#/createaccount,Yes,Points for pizza/breadsticks,Full Registration,"email, name, phone",Yes,Bonus points on signup,None noted  
34,Dining,Taco Bell,Taco Bell Rewards,https://www.tacobell.com/register,Yes,Exclusive app offers,Full Registration,"email, name, phone",Yes,Discount on first purchase,None noted  
35,Dining,Burger King,Royal Perks,https://www.bk.com/signup,Yes,Earn Crowns,Full Registration,"email, name, phone",Yes,None noted,None noted  
36,Dining,Arby's,Arby's Rewards,https://www.arbys.com/account/register,Yes,Member-only deals,Full Registration,"email, name, phone",Yes,None noted,None noted  
37,Dining,Buffalo Wild Wings,Blazin' Rewards,https://www.buffalowildwings.com/rewards,Yes,Earn points for wings,Full Registration,"email, name, phone",Yes,Bonus points on signup,None noted  
38,Dining,Texas Roadhouse,VIP Club,https://www.texasroadhouse.com/vip-club,Yes,Seasonal offers,Full Registration,"email, name, phone",Yes,Discount on first purchase,None noted  
39,Dining,Olive Garden,eClub,https://www.olivegarden.com/customer-service/registration-existing-account,Yes,Free dessert offer on signup,Full Registration,"email, name, phone",Yes,Discount on first purchase,None noted  
40,Dining,Outback Steakhouse,Dine Rewards,https://www.outback.com/rewards/signup,Yes,Covers Bloomin' Brands,Full Registration,"email, name, phone",Yes,None noted,None noted  
41,Dining,Chili's,My Chili's Rewards,https://www.chilis.com/register,Yes,Free chips & salsa,Full Registration,"email, name, phone",Yes,None noted,None noted  
42,Dining,Red Lobster,My Red Lobster Rewards,https://www.redlobster.com/rewards,Yes,Tiered status system,Full Registration,"email, name, phone",Yes,None noted,None noted  
43,Dining,IHOP,International Bank of Pancakes,https://www.ihop.com/en/rewards/sign-up,Yes,Earn PanCoins,Full Registration,"email, name, phone",Yes,None noted,None noted  
44,Dining,Denny's,Denny's Rewards,https://www.dennys.com/rewards/signup,Yes,20% off next visit,Full Registration,"email, name, phone",Yes,Discount on first purchase,None noted  
45,Dining,Applebee's,Club Applebee's,https://www.applebees.com/en/sign-up,Yes,Welcome offer included,Full Registration,"email, name, phone",Yes,Discount on first purchase,None noted  
46,Dining,Cheesecake Factory,Cheesecake Rewards,https://www.thecheesecakefactory.com/rewards/sign-up,Yes,Free slice on birthday,Full Registration,"email, name, phone",Yes,None noted,None noted  
47,Dining,P.F. Chang's,Platinum Rewards,https://www.pfchangs.com/rewards/register,Yes,$15 birthday reward,Paid Subscription,"email, name, payment info",No,None noted,Payment required  
48,Dining,Red Robin,Red Robin Royalty,https://www.redrobin.com/rewards,Yes,Every 10th item free,Full Registration,"email, name, phone",Yes,Free item or bonus points on signup,None noted  
49,Dining,TGI Fridays,Fridays Rewards,https://www.tgifridays.com/rewards/sign-up,Yes,Points for free food,Full Registration,"email, name, phone",Yes,Free item or bonus points on signup,None noted  
50,Dining,Dairy Queen,DQ Rewards,https://www.dairyqueen.com/en-us/rewards,Yes,Exclusive app deals,Full Registration,"email, name, phone",Yes,None noted,None noted  
51,Dining,Sonic Drive-In,Sonic Rewards,https://www.sonicdrivein.com/account/signup,Yes,1/2 price drinks in app,Full Registration,"email, name, phone",Yes,None noted,None noted  
52,Dining,Jack in the Box,The Jack Pack,https://www.jackinthebox.com/account/register,Yes,Earn points,Full Registration,"email, name, phone",Yes,Bonus points on signup,None noted  
53,Dining,Jersey Mike's,Shore Points,https://www.jerseymikes.com/account/create,Yes,Points toward free subs,Full Registration,"email, name, phone",Yes,Free item or bonus points on signup,None noted  
54,Dining,Firehouse Subs,Firehouse Rewards,https://www.firehousesubs.com/firehouse-rewards,Yes,Free sub on birthday,Full Registration,"email, name, phone",Yes,None noted,None noted  
55,Dining,Jimmy John's,Freaky Fast Rewards,https://www.jimmyjohns.com/rewards,Yes,Surprise rewards,Full Registration,"email, name, phone",Yes,None noted,None noted  
56,Dining,Potbelly,Potbelly Perks,https://www.potbelly.com/perks/signup,Yes,Earn free sandwiches,Full Registration,"email, name, phone",Yes,None noted,None noted  
57,Dining,Auntie Anne's,Pretzel Perks,https://www.auntieannes.com/rewards,Yes,Earn points for free pretzels,Full Registration,"email, name, phone",Yes,Free item or bonus points on signup,None noted  
58,Dining,Cinnabon,Cinnabon Rewards,https://www.cinnabon.com/rewards,Yes,4ct BonBites welcome offer,Full Registration,"email, name, phone",Yes,Discount on first purchase,None noted  
59,Dining,Krispy Kreme,Krispy Kreme Rewards,https://www.krispykreme.com/account/create-account,Yes,Free donut upon signup,Full Registration,"email, name, phone",Yes,None noted,None noted  
60,Dining,Baskin-Robbins,BR Rewards,https://www.baskinrobbins.com/en/sign-up,Yes,Deals and offers,Full Registration,"email, name, phone",Yes,Discount on first purchase,None noted  
61,Dept Store,Neiman Marcus,InCircle,https://www.neimanmarcus.com/account/register,Yes,Free account; InCircle points require store credit card,Full Registration,"email, name, phone",Yes,Free item or bonus points on signup,None noted  
62,Dept Store,Bergdorf Goodman,BG Account,https://www.bergdorfgoodman.com/account/register,Yes,Free account creation,Full Registration,"email, name, phone",Yes,None noted,None noted  
63,Catalog,Sharper Image,Email Club,https://www.sharperimage.com/si/customer/register,Yes,Early access to sales,Full Registration,"email, name, phone",Yes,None noted,None noted  
64,Catalog,Lands' End,Lands' End Rewards,https://www.landsend.com/my-account/create-account,Yes,Points for purchases,Full Registration,"email, name, phone",Yes,Bonus points on signup,None noted  
65,Dept Store,Kohl's,Kohl's Rewards,https://www.kohls.com/myaccount/kohls_login.jsp,Yes,5% rewards daily,Full Registration,"email, name, phone",Yes,None noted,None noted  
66,Dept Store,Macy's,Star Rewards,https://www.macys.com/account/createaccount,Yes,Free to join Bronze Tier,Full Registration,"email, name, phone",Yes,None noted,None noted  
67,Dept Store,Nordstrom,The Nordy Club,https://www.nordstrom.com/signin,Yes,Earn points toward Nordstrom Notes,Full Registration,"email, name, phone",Yes,Bonus points on signup,None noted  
68,Dept Store,JCPenney,JCPenney Rewards,https://www.jcpenney.com/m/rewards,Yes,$10 rewards,Paid Subscription,"email, name, payment info",No,None noted,Payment required  
69,Dept Store,Dillard's,Dillard's Rewards,https://www.dillards.com/registrations/createAccount,Yes,Free account creation,Full Registration,"email, name, phone",Yes,None noted,None noted  
70,Dept Store,Belk,Belk Rewards,https://www.belk.com/account/register,Yes,Tier-based benefits,Full Registration,"email, name, phone",Yes,None noted,None noted  
71,Dept Store,Saks Fifth Avenue,SaksFirst,https://www.saksfifthavenue.com/account/register,Yes,Free account; points require SaksFirst card,Full Registration,"email, name, phone",Yes,Free item or bonus points on signup,None noted  
72,Dept Store,Bloomingdale's,Loyallist,https://www.bloomingdales.com/account/createaccount,Yes,Earn points,Full Registration,"email, name, phone",Yes,Bonus points on signup,None noted  
73,Dept Store,Target,Target Circle,https://www.target.com/account/create,Yes,Personalized deals,Full Registration,"email, name, phone",Yes,None noted,None noted  
74,Catalog,L.L.Bean,L.L.Bean Account,https://www.llbean.com/llb/shop/514413,Yes,Free account; bean bucks require card,Full Registration,"email, name, phone",Yes,None noted,None noted  
75,Catalog,Eddie Bauer,Adventure Rewards,https://www.eddiebauer.com/login/create-account,Yes,Points for gear,Full Registration,"email, name, phone",Yes,Bonus points on signup,None noted  
76,Dept Store,Dick's Sporting Goods,ScoreCard,https://www.dickssportinggoods.com/AccountCreate,Yes,3% back,Full Registration,"email, name, phone",Yes,None noted,None noted  
77,Catalog,REI,REI Co-op Membership,https://www.rei.com/membership/join,No,$30 lifetime fee; 10% annual dividend,Paid Subscription,"email, name, payment info",No,None noted,Payment required  
78,Catalog,Bass Pro Shops,Outdoor Rewards,https://www.basspro.com/shop/en/outdoor-rewards,Yes,,Full Registration,"email, name, phone",Yes,None noted,None noted  
79,Catalog,Cabela's,CLUB Rewards,https://www.cabelas.com/shop/en/cabelas-club,No,Requires credit card for full tier,Paid Subscription,"email, name, payment info",No,None noted,Payment required  
80,Catalog,Frontgate,Email Sign Up,https://www.frontgate.com/email-signup,Yes,Welcome discount,Full Registration,"email, name, phone",Yes,Discount on first purchase,None noted  
